12891,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Yan Tong (P) 
12896,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Homayoun Valafar (P) 
12901,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Marco Valtorta (P) 
12905,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Jose M Vidal (P) 
19907,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Song Wang (P) 
24458,CSCE ,798,30 - Columbia Full Term ,Directed Study and Research ,  ,50,Wenyuan Xu (P) 
12913,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Jason Daniel Bakos (P) 
12922,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Jenay Michelle Beer (P) 
12932,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Duncan A. Buell (P) 
12936,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Caroline Merriam Eastman (P) 
12939,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Csilla Farkas (P) 
12943,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Stephen A. Fenner (P) 
12946,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Gregory James Gay (P) 
19913,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Jianjun Hu (P) 
12953,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Chin-Tser Huang (P) 
12956,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Michael N. Huhns (P) 
12959,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Manton M. Matthews (P) 
12964,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Srihari Nelakuditi (P) 
12968,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Jason Matthew Okane (P) 
12974,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Ioannis M Rekleitis (P) 
12983,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,John R. Rose (P) 
12986,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Jijun Tang (P) 
12989,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Gabriel Alin Terejanu (P) 
12992,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Matt Eric Thatcher (P) 
12993,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Yan Tong (P) 
12994,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Homayoun Valafar (P) 
12997,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Marco Valtorta (P) 
12998,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Jose M Vidal (P) 
19915,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Song Wang (P) 
24459,CSCE ,799,30 - Columbia Full Term ,Thesis Preparation ,  ,50,Wenyuan Xu (P) 
19530,CSCE ,813,30 - Columbia Full Term ,Internet Security ,TR ,22,Chin-Tser Huang (P) 
24849,CSCE ,813,30 - Columbia Full Term ,Internet Security ,TR ,22,Chin-Tser Huang (P) 
17211,CSCE ,883,30 - Columbia Full Term ,Machine Learning ,TR ,36,Gabriel Alin Terejanu (P) 
28529,CSCE ,883,30 - Columbia Full Term ,Machine Learning ,TR ,23,Gabriel Alin Terejanu (P) 
13000,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Jason Daniel Bakos (P) 
13001,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Jenay Michelle Beer (P) 
13003,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Duncan A. Buell (P) 
13004,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Caroline Merriam Eastman (P) 
13007,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Csilla Farkas (P) 
13008,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Stephen A. Fenner (P) 
13011,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Gregory James Gay (P) 
19945,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Jianjun Hu (P) 
13012,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Chin-Tser Huang (P) 
13014,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Michael N. Huhns (P) 
13016,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Manton M. Matthews (P) 
13019,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Srihari Nelakuditi (P) 
13020,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Jason Matthew Okane (P) 
13022,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Ioannis M Rekleitis (P) 
13023,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,John R. Rose (P) 
13025,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Jijun Tang (P) 
13026,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Gabriel Alin Terejanu (P) 
13028,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Matt Eric Thatcher (P) 
13031,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Yan Tong (P) 
13032,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Homayoun Valafar (P) 
13034,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Marco Valtorta (P) 
13036,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Jose M Vidal (P) 
19946,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Song Wang (P) 
24467,CSCE ,899,30 - Columbia Full Term ,Dissertation Preparation ,  ,50,Wenyuan Xu (P) 
